timestamp;message
3:14  PM; The Guiller  ela ja discursa
3:14  PM; pesloh  o rei do gado
3:14  PM; Ramlig ordizi  micheque
3:14  PM; Dinho_Bdf  cadê as jóias presidenciais gadinhos
3:14  PM; Wilson de Luces  MALACHEIA
3:14  PM; Lucas Bernardino  O CAGÃO COM COLETE DE BALAS
3:14  PM; Wilson de Luces  MALACHEIA
3:14  PM; Jonas Schettini  CHORA PETEZADA ALOPRADA, VCS NÃO TEM ISSO, CHORA DE INVEJA KKKKKK KKKKKK
3:14  PM; Chris R.  MICHEQUE E MALACHEIA!!! RSSSS
3:14  PM; Géssica Michaelle  MOSTRA A MIXEQUE CHORANDO AI KKKKKKKKK
3:14  PM; TiadeSobrinas andCamilo  LICO
3:14  PM; Roberta Queiroz Pereira  kkkkkkkkkk só doentes Mental ( Silas Malafaia)
3:14  PM; Silva  alguém filma o pt
3:14  PM; Ricardo Barroso                          
3:14  PM; Geraldo de Souza Souza  KADEIA JÁ
3:14  PM; TiadeSobrinas andCamilo  AH AH
3:14  PM; Paulo Dukke  pastor ladrao dinheiro do povo
3:14  PM; Roberto Monte  bozo ladrão de jóias sauditas e tramista de golpe de estado PF 
3:14  PM; Eliton  CAPIM PRO GADO
3:14  PM; JR  LULA É O SEU PRESIDENTE!    
3:14  PM; JM Automotive  ILHA DE MARAJÓ PEDE SOCORRO
3:14  PM; Guilherme Medeiros  BROXONARO PERSONA NON MAIS ELEITA
3:14  PM; Marcos  TEM Muito mais gente do que no CARNAVAL
3:14  PM; R4phy5  LULA NÃO REPRESENTA O POVO BRASILEIRO
3:15  PM; Josué Nascimento  TOC TOC TOC
3:15  PM; TiadeSobrinas andCamilo  SA TA
3:15  PM; Franklin M  BOLSONARO             
3:15  PM; ARTECH SOLUÇÕES  MICHEQUE É MAÇANETA DO WALDEMAR
3:15  PM; Dinho_Bdf  Silas malacheia kkkkkkkkkkk
3:15  PM; Patrick Oliveira  FALSO PROFETA TA AI
3:15  PM; MARCOS CURI  ESQUERDA MORRENDO DE RAIVA
3:15  PM; Daniel Andrade  Ja já começam a puxar o coro: ÍMBROCHÁVEL, IMBROCHÁVEL, IMBROCHÁVEL
3:15  PM; Monica Debuche  Vade Retrum Satanás
3:15  PM; CHAFUNDEFÓRNIO  CHORAAAA PETISTA 
3:15  PM; teca jardim   .  VIDA DE GADO.
3:15  PM; Ramlig ordizi  cadeia
3:15  PM; Manoel Holanda  Michele                             
3:15  PM; Denny  FORA ANTISEMITAS!!!!!!!!!!!!!!!!!!!!
3:15  PM; Carlos Mesquita  Salete Gomes tá com inveja da Michelle kkkkkkkk
3:15  PM; dropdod  L
3:15  PM; Helena Lopes  o maior pecado a esposa falando que o marido foi o escolhido por Deus ,vai vim castigo podem esperar
3:15  PM;" cristina moura  A esquerda tentou de tudo com a Globo lixo e imprensa podre colocar uma pedra nessa manifestação, mas dessa o ""amor"" não venceu... Bolsonaro é eterno, a saída de um Brasil longe da podridão!     "
3:15  PM; Raimundo Eduardo Malaquias Malaquias  Oi Mariza Andrade vc e linda
3:15  PM; Eliton  CAPIM PRO GADO
3:15  PM; Alexsandro Loures  galera o presidente é o Lula ele que comanda o Brasil... chora bozo
3:15  PM; Marcos  TEM Muito mais gente do que no CARNAVAL
3:15  PM; Jonas Schettini  CHORA PETEZADA ALOPRADA, VCS NÃO TEM ISSO, CHORA DE INVEJA KKKKKK KKKKKK
3:15  PM; dropdod  L
3:15  PM; Homem  FOI ESSE QUE PERDEU A ELEIÇÃO FOI ESSE QUE PERDEU A ELEIÇÃO FOI ESSE QUE PERDEU A ELEIÇÃO FOI ESSE QUE PERDEU A ELEIÇÃO 
3:15  PM; Guilherme luan fischer  ENGANDO DE NOVO O OGADO
3:15  PM; dropdod  L
3:15  PM; Homem  FOI ESSE QUE PERDEU A ELEIÇÃO FOI ESSE QUE PERDEU A ELEIÇÃO FOI ESSE QUE PERDEU A ELEIÇÃO 
3:15  PM; Mariza Andrade  fake continua
3:15  PM; Anita Costa  LULA      LULA      LULA      LULA      LULA      LULA     
3:15  PM; Robson Pinheiro  O VERDADEIRO PRESIDENTE TA NA PAULISTA                      CHORAA PTZZZZZZZZZZZADA KKKK LADRÃO
3:15  PM; TiadeSobrinas andCamilo  NIS MO
3:15  PM; dropdod  L
3:15  PM; Homem  FOI ESSE QUE PERDEU A ELEIÇÃO FOI ESSE QUE PERDEU A ELEIÇÃO FOI ESSE QUE PERDEU A ELEIÇÃO FOI ESSE QUE PERDEU A ELEIÇÃO 
3:15  PM; Marcia Martin  CHORA GADO!!! 
3:15  PM; Homem  FOI ESSE QUE PERDEU A ELEIÇÃO FOI ESSE QUE PERDEU A ELEIÇÃO FOI ESSE QUE PERDEU A ELEIÇÃO 
3:15  PM; Nick Iva  MAIS UM CRIME NO INQUÉRITO DO GOLPISTA 
3:15  PM; dropdod  O
3:15  PM; Rodrigo Santos  manda o ladrão de nove dedos se preparar para o impacheman
3:15  PM; Ramlig ordizi  cadeia
3:15  PM; Géssica Michaelle  MIXEQUE CHORANDO DESESPERADA KKKKKKKK MOSTRA AE CNN
3:15  PM; Paula Rodrigues  
3:15  PM; ninha  LADRAOOOOOOOOOOOO
3:15  PM; Homem  FOI ESSE QUE PERDEU A ELEIÇÃO FOI ESSE QUE PERDEU A ELEIÇÃO FOI ESSE QUE PERDEU A ELEIÇÃO FOI ESSE QUE PERDEU A ELEIÇÃO 
3:15  PM; MARCOS CURI  ESQUERDA BABANDO DE RAIVA
3:15  PM; Dinho_Bdf  cadê as jóias presidenciais gadinhos
3:15  PM; SIMPLES  
3:15  PM; O amor prevalece  ISSO NÃO VAI IMPEDIR DE BOZO IR PAPUDA GADO NEM OS 58 MILHÕES DE VOTOS IMPEDIU A JUSTIÇA DE AGIR 
3:15  PM; Eliton  CAPIM PRO GADO
3:15  PM; Marcos  TEM Muito mais gente do que no CARNAVAL
3:15  PM; Homem  FOI ESSE QUE PERDEU A ELEIÇÃO FOI ESSE QUE PERDEU A ELEIÇÃO FOI ESSE QUE PERDEU A ELEIÇÃO FOI ESSE QUE PERDEU A ELEIÇÃO 
3:15  PM; Klebson Carmo  Comovente o discurso, nota: dó!
3:15  PM; Batista Queiroz  MUITA RAÇÃO DE CAPIM SENDO DESTRIBUIDA
3:15  PM; Messias da Silva  Que este Nazista Racista seja preso hoje!!!!
3:15  PM; Chris R.  MICHEQUEE MALACHEIA!!! CADA UM EXPLORA COM O QUE PODE!!! AHAHAHA
3:15  PM; Homem  FOI ESSE QUE PERDEU A ELEIÇÃO FOI ESSE QUE PERDEU A ELEIÇÃO FOI ESSE QUE PERDEU A ELEIÇÃO FOI ESSE QUE PERDEU A ELEIÇÃO 
3:15  PM; Ramlig ordizi  cadeia
3:15  PM; Dinho_Bdf  cadê as jóias presidenciais gadinhos
3:15  PM; Vera Martins  MICHEQUE COM SAUDADE DO MAQUIADOR.
3:15  PM; Mauricio Machado  MICARETA PRÉ-PAPUDA!!
3:15  PM; Lucas Bernardino  CADEIA NO CRIFRUDO
3:15  PM; ninha  LADRAOOOOOOOOOOO
3:15  PM; Andressa Souza  
3:15  PM; Cidadão Comum  MALACHEIA LADRÃO DE DÍZIMO!!!
3:15  PM; teca jardim   .  VIDA DE GADO.
3:15  PM; Chris R.  MICHEQUEE MALACHEIA!!! CADA UM EXPLORA COM O QUE PODE!!! AHAHAHA
3:15  PM; Elivaldo Bandeira  pastor não, empresário Silas Malafraude
3:15  PM; TiadeSobrinas andCamilo  MI CHE QUE
3:15  PM; Homem  FOI ESSE QUE PERDEU A ELEIÇÃO FOI ESSE QUE PERDEU A ELEIÇÃO FOI ESSE QUE PERDEU A ELEIÇÃO 
3:15  PM; Caio Rossmann Moraes  eles estao fazendo espaço grande
3:15  PM; rafael barata  PRENDE OS TERRORISTAS
3:15  PM; Dinho_Bdf  cadê as jóias presidenciais gadinhos
3:15  PM; SIMPLES  
3:15  PM; Strawberry heart  BANDO DE GALA SECA 
3:15  PM; Mariza Andrade  kkkkk
3:15  PM; Marcos Pena  O Brasil precisa de trabalho e não de safadeza governadores
3:15  PM; PEDRO RIBEIRO SEVERO PEDRO  crente do Diabo Silas e cia
3:15  PM; marcio Vidigal Amorim  CNN 15 k assistindo ... deputado Zucco 59 k
3:15  PM; Gilberto Mahadêva      O mesmo gado q fazem saudação naz... apoiam incondicionalmente os Israel, vá entender.....
3:15  PM; Josué Nascimento  TOC TOC TOC
3:15  PM; Marcos  TEM Muito mais gente do que no CARNAVAL
3:15  PM; Mari Pedacce  A PAULISTA ESTÁ LINDA DE SE VER ! O POVO EM APOIO AO PRESIDENTE BOLSONARO!!!                     
3:15  PM; Anita Costa  BOLSONARO na CADEIA
3:15  PM; Dinho_Bdf  cadê as jóias presidenciais gadinhos
3:15  PM; Paula Rodrigues  
3:15  PM; Homem  FOI ESSE QUE PERDEU A ELEIÇÃO FOI ESSE QUE PERDEU A ELEIÇÃO FOI ESSE QUE PERDEU A ELEIÇÃO FOI ESSE QUE PERDEU A ELEIÇÃO 
3:15  PM; Wallace Gandhi  cuidado para o trio não pegar fogo kkkk usando o nome de Deus nas falcatruas
3:15  PM; SIMPLES  
3:15  PM; TiadeSobrinas andCamilo  E VAN GE
3:15  PM; Lucas Bernardino  CADEIA NO CIFRUDO
3:15  PM; ninha  LADRAOOOOOOOOO
3:15  PM; Marcia Martin  MUUUUUUU
3:15  PM; Manoel Holanda  Michele é uma santa
3:15  PM; Vera Martins  MICHEQUE COM SAUDADE DO MAQUIADOR.
3:15  PM; TiadeSobrinas andCamilo  LICA
3:15  PM; cristina moura  Fora PT corruptos
3:15  PM; laura tesla  lularapio vc não me representa nem morta imagina viva
3:15  PM; Joildes Oliveira  Silas malafaia é tão bandido quanto bolsonaro e seus filhos
3:15  PM; Luiz Augusto Ramos da Silva  QUANTOS BANDIDOS CABEM NA PAULISTA   
3:15  PM; RESISTÊNCIA  Quanta borracha que essa mulher fala
3:15  PM; Dinho_Bdf  cadê as jóias presidenciais gadinhos
